Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2017-11-27,9128.0,9654.28,9112.04,9650.0,4521.625707,42961064.95202934,22806,2433.44757500,23145323.64948013,0
2017-11-28,9650.0,9939.0,9570.5,9896.8,4917.210985,48235644.0576554,18923,2431.13850200,23851135.77284698,0
2017-11-29,9896.79,11300.03,8520.0,9687.88,13352.538715,135976167.45757934,47894,8662.63236200,88423971.28943045,0
2017-11-30,9687.88,10900.0,8850.8,9838.96,9389.574329,91430904.34116387,41153,5360.66024200,52384338.03597776,0
2017-12-01,9837.0,10898.0,9380.0,10782.99,6134.923633,62260697.58291551,32375,3269.86858800,33193672.16592109,0
2017-12-02,10775.04,11190.0,10620.0,10890.01,4765.439757,52046689.84006951,29694,2390.19427500,26111051.97904352,0
2017-12-03,10902.69,11825.0,10500.0,11165.41,5346.636524,60350708.29332783,39335,2574.24618700,29090180.16290429,0
2017-12-04,11165.41,11600.0,10802.0,11579.0,4663.424562,52814985.63993067,32232,2516.85503100,28512751.47162289,0
2017-12-05,11571.03,11853.0,11447.68,11699.99,5550.732055,64721253.04527842,31317,3135.63056500,36570499.65542363,0
2017-12-06,11699.99,13615.23,11665.58,13550.05,6707.946319,84409526.69576178,40196,3830.09838100,48223185.56586906,0
2017-12-07,13541.01,16649.96,13050.0,16599.0,7487.065695,109555325.34649763,57541,3931.04137600,57501459.77355417,0
2017-12-08,16599.0,17204.99,14015.0,15880.0,17589.013136,271586476.6191431,84727,11950.29181200,184080403.13797045,0
2017-12-09,15880.01,16269.3,12535.0,14656.07,13918.758687,205372672.98786432,66738,7988.32302300,118308773.57971703,0
2017-12-10,14664.01,15720.12,12368.0,14899.98,16553.037173,233767963.46201488,80669,8736.86934400,123176894.48606697,0
2017-12-11,14946.26,17470.0,14901.08,16587.97,11820.401762,193045127.9036004,71373,5905.23463300,96386375.05815985,0
2017-12-12,16587.97,16976.45,15875.0,16349.99,9436.802411,155716213.09834388,76032,4395.05152500,72561808.35535773,0
2017-12-13,16349.99,16546.0,14666.56,16033.29,12416.328801,196769674.3115306,83847,6127.95773900,97124627.48575148,0
2017-12-14,16030.34,16445.0,15450.0,16334.98,11616.867151,186092495.1834846,86150,5999.07517300,96150362.10506035,0
2017-12-15,16334.98,17991.0,16298.45,17539.83,9181.273947,159809704.04408672,85478,4712.57840000,81924043.94046211,0
